Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Abimelec Ortiz,LHB,WSH,Chase Petty,R,,,,,
Brian Navarreto,RHB,MIA,George Klassen,R,,,,,
Andrew Pinckney,RHB,WSH,Chase Petty,R,,,,,
Michael Conforto,LHB,CHC,Daniel Lynch IV,L,,,,,
Sean Murphy,RHB,ATL,Max Fried,L,,,,,
Jonathan Ornelas,RHB,ATH,Payton Tolle,L,,,,,
Ben Rortvedt,LHB,LAD,Merrill Kelly,R,,,,,
Cristian Pache,RHB,NYM,Carmen Mlodzinski,R,,,,,
Petey Halpin,LHB,CLE,Noah Schultz,L,,,,,
Enrique Hernandez,RHB,LAD,Merrill Kelly,R,,,,,
Ronny Simon,SHB,PIT,Zach Thornton,L,,,,,
Eric Wagaman,RHB,NYM,Carmen Mlodzinski,R,,,,,
Bobby Witt Jr.,RHB,KC,Kevin Gausman,R,,,,,18
Tyrone Taylor,RHB,CHC,Easton McGee,R,,,,,16
Pete Crow-Armstrong,LHB,CHC,Easton McGee,R,,,,,33
Dillon Dingler,RHB,DET,Adrian Houser,R,,,,,29
Spencer Torkelson,RHB,DET,Adrian Houser,R,,,,,31
Gleyber Torres,RHB,DET,Adrian Houser,R,,,,,26
Riley Greene,LHB,DET,Adrian Houser,R,,,,,24
